XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-73.90285299,40.63910252,9341,1001,3,Brooklyn,099200,30992001001,798.974461,39086.330128,360470992001001
-73.90431632,40.63650516,9342,1001,3,Brooklyn,099400,30994001001,3392.143328,680280.551488,360470994001001
-73.90797490,40.63470031,9343,1001,3,Brooklyn,099600,30996001001,2078.729125,202560.618419,360470996001001
-73.91127924,40.63224571,9344,1001,3,Brooklyn,099800,30998001001,1977.868125,185366.280081,360470998001001
-73.90433959,40.63143465,9345,1001,3,Brooklyn,100400,31004001001,2077.923014,202268.870286,360471004001001
-73.90142843,40.63331680,9346,1001,3,Brooklyn,100600,31006001001,2079.749060,202755.938575,360471006001001
-73.89835525,40.63526236,9347,1001,3,Brooklyn,100800,31008001001,2196.693980,247545.278876,360471008001001
-73.89552156,40.63713395,9348,1001,3,Brooklyn,101000,31010001001,2199.523202,249422.227506,360471010001001
-73.89412392,40.64084367,9349,1001,3,Brooklyn,101200,31012001001,2079.157624,202668.848757,360471012001001
-73.89122544,40.64271628,9350,1001,3,Brooklyn,101400,31014001001,2099.990868,210362.199903,360471014001001
-73.88905256,40.64412322,9351,1001,3,Brooklyn,101600,31016001001,2045.035058,191787.042478,360471016001001
-73.88362985,40.64156843,9352,1001,3,Brooklyn,101800,31018001001,5327.777565,710515.660882,360471018001001
-73.88759135,40.63945372,9353,1001,3,Brooklyn,102000,31020001001,2100.766445,210353.012859,360471020001001
-73.89048982,40.63757951,9354,1001,3,Brooklyn,102200,31022001001,2079.832710,202567.019557,360471022001001
-73.89186684,40.63384847,9355,1001,3,Brooklyn,102400,31024001001,2235.217593,254658.871634,360471024001001
-73.89705902,40.63049444,9356,1001,3,Brooklyn,102600,31026001001,2120.312246,208650.816892,360471026001001
-73.89072861,40.62955217,9357,1001,3,Brooklyn,102800,31028001001,1629.032099,144445.763075,360471028001001
-73.88341401,40.65195916,9358,1001,3,Brooklyn,105801,31058011001,1228.490864,91117.708520,360471058011001
-73.87069127,40.66219302,9359,1001,3,Brooklyn,107800,31078001001,2171.777763,292796.186003,360471078001001
-73.89638752,40.65697262,9360,1001,3,Brooklyn,109800,31098001001,1670.845178,149836.876666,360471098001001
-73.88563967,40.65764281,9361,1001,3,Brooklyn,110600,31106001001,3275.560119,629771.800924,360471106001001
-73.87358823,40.66681277,9362,1001,3,Brooklyn,111600,31116001001,1665.766303,148926.828631,360471116001001
-73.87551991,40.67009213,9363,1001,3,Brooklyn,111800,31118001001,1380.901666,110171.012797,360471118001001
-73.87977429,40.66807450,9364,1001,3,Brooklyn,112000,31120001001,1096.709529,73339.664308,360471120001001
-73.88380551,40.66461252,9365,1001,3,Brooklyn,112200,31122001001,2160.843627,213495.048709,360471122001001
-73.88465949,40.66696595,9366,1001,3,Brooklyn,112400,31124001001,1631.709882,141746.333064,360471124001001
-73.89187211,40.66588441,9367,1001,3,Brooklyn,112600,31126001001,1664.916861,148613.682009,360471126001001
-73.89118105,40.66316256,9368,1001,3,Brooklyn,112800,31128001001,1142.190027,79117.660027,360471128001001
-73.89749885,40.66504885,9369,1001,3,Brooklyn,113000,31130001001,1667.014057,149181.975766,360471130001001
-73.90022046,40.66465227,9370,1001,3,Brooklyn,113200,31132001001,1618.266378,135056.588288,360471132001001
-73.89956388,40.66938714,9371,1001,3,Brooklyn,113400,31134001001,1452.388497,121301.604892,360471134001001
